"売上番号","明細番号","日付","顧客番号","顧客名","担当者","地区","商品番号","商品名","商品分類","価格","数量","計"
112,27,2013/1/15 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1001","コピー用紙","紙製品",\3500,10,\35000
112,28,2013/1/15 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1003","宛名ラベル","紙製品",\2800,10,\28000
112,29,2013/1/15 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","O_1003","カラーメモシール","事務用品",\2800,6,\16800
113,30,2013/1/15 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1001","エアークッション材","梱包材",\2800,4,\11200
113,31,2013/1/15 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1003","段ボール箱（大）","梱包材",\2900,11,\31900
114,32,2013/1/15 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1001","コピー用紙","紙製品",\3500,6,\21000
114,33,2013/1/15 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1003","宛名ラベル","紙製品",\2800,5,\14000
115,34,2013/1/15 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1001","コピー用紙","紙製品",\3500,6,\21000
115,35,2013/1/15 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1004","CD DVDラベル","紙製品",\5000,4,\20000
116,36,2013/1/15 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1001","クリアケース","事務用品",\2500,4,\10000
116,37,2013/1/15 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1002","軽量バインダー","事務用品",\3500,5,\17500
117,38,2013/1/15 0:00:00,"1007","桜町ハウス株式会社","中島幸太郎","中部","B_1001","エアークッション材","梱包材",\2800,7,\19600
118,39,2013/1/15 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1001","コピー用紙","紙製品",\3500,10,\35000
118,40,2013/1/15 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1002","カラーコピー用紙","紙製品",\4500,5,\22500
119,41,2013/1/15 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1001","コピー用紙","紙製品",\3500,10,\35000
119,42,2013/1/15 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1003","宛名ラベル","紙製品",\2800,3,\8400
120,43,2013/1/15 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1001","エアークッション材","梱包材",\2800,10,\28000
120,44,2013/1/15 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1002","段ボール箱（小）","梱包材",\1900,10,\19000
120,45,2013/1/15 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1003","段ボール箱（大）","梱包材",\2900,10,\29000
121,46,2013/2/1 0:00:00,"1001","葉山商会株式会社","飯島賢太","関東","P_1001","コピー用紙","紙製品",\3500,10,\35000
121,47,2013/2/1 0:00:00,"1001","葉山商会株式会社","飯島賢太","関東","P_1002","カラーコピー用紙","紙製品",\4500,5,\22500
122,48,2013/2/1 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1001","コピー用紙","紙製品",\3500,10,\35000
122,49,2013/2/1 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1003","宛名ラベル","紙製品",\2800,10,\28000
122,50,2013/2/1 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","O_1003","カラーメモシール","事務用品",\2800,6,\16800
123,51,2013/2/1 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1001","エアークッション材","梱包材",\2800,4,\11200
123,52,2013/2/1 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1003","段ボール箱（大）","梱包材",\2900,10,\29000
124,53,2013/2/1 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1001","コピー用紙","紙製品",\3500,6,\21000
124,54,2013/2/1 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1003","宛名ラベル","紙製品",\2800,6,\16800
124,55,2013/2/1 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1004","CD DVDラベル","紙製品",\5000,1,\5000
125,56,2013/2/1 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1001","コピー用紙","紙製品",\3500,6,\21000
125,57,2013/2/1 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1004","CD DVDラベル","紙製品",\5000,4,\20000
126,58,2013/2/1 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1001","クリアケース","事務用品",\2500,5,\12500
126,59,2013/2/1 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1002","軽量バインダー","事務用品",\3500,4,\14000
127,60,2013/2/1 0:00:00,"1007","桜町ハウス株式会社","中島幸太郎","中部","B_1001","エアークッション材","梱包材",\2800,7,\19600
127,61,2013/2/1 0:00:00,"1007","桜町ハウス株式会社","中島幸太郎","中部","B_1003","段ボール箱（大）","梱包材",\2900,2,\5800
128,62,2013/2/1 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1001","コピー用紙","紙製品",\3500,11,\38500
128,63,2013/2/1 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1002","カラーコピー用紙","紙製品",\4500,5,\22500
129,64,2013/2/1 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1001","コピー用紙","紙製品",\3500,10,\35000
129,65,2013/2/1 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1003","宛名ラベル","紙製品",\2800,2,\5600
130,66,2013/2/1 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1001","エアークッション材","梱包材",\2800,10,\28000
130,67,2013/2/1 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1002","段ボール箱（小）","梱包材",\1900,12,\22800
130,68,2013/2/1 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1003","段ボール箱（大）","梱包材",\2900,10,\29000
131,69,2013/2/15 0:00:00,"1001","葉山商会株式会社","飯島賢太","関東","P_1001","コピー用紙","紙製品",\3500,8,\28000
131,70,2013/2/15 0:00:00,"1001","葉山商会株式会社","飯島賢太","関東","P_1002","カラーコピー用紙","紙製品",\4500,5,\22500
132,71,2013/2/15 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1001","コピー用紙","紙製品",\3500,10,\35000
132,72,2013/2/15 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1003","宛名ラベル","紙製品",\2800,11,\30800
132,73,2013/2/15 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","O_1003","カラーメモシール","事務用品",\2800,6,\16800
133,74,2013/2/15 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1001","エアークッション材","梱包材",\2800,4,\11200
133,75,2013/2/15 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1003","段ボール箱（大）","梱包材",\2900,12,\34800
134,76,2013/2/15 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1001","コピー用紙","紙製品",\3500,6,\21000
134,77,2013/2/15 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1003","宛名ラベル","紙製品",\2800,5,\14000
135,78,2013/2/15 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1001","コピー用紙","紙製品",\3500,6,\21000
135,79,2013/2/15 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1002","カラーコピー用紙","紙製品",\4500,3,\13500
135,80,2013/2/15 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1004","CD DVDラベル","紙製品",\5000,5,\25000
136,81,2013/2/15 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1001","クリアケース","事務用品",\2500,4,\10000
136,82,2013/2/15 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1002","軽量バインダー","事務用品",\3500,4,\14000
137,83,2013/2/15 0:00:00,"1007","桜町ハウス株式会社","中島幸太郎","中部","B_1001","エアークッション材","梱包材",\2800,7,\19600
138,84,2013/2/15 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1001","コピー用紙","紙製品",\3500,10,\35000
138,85,2013/2/15 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1002","カラーコピー用紙","紙製品",\4500,6,\27000
139,86,2013/2/15 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1001","コピー用紙","紙製品",\3500,10,\35000
139,87,2013/2/15 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1003","宛名ラベル","紙製品",\2800,2,\5600
140,88,2013/2/15 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1001","エアークッション材","梱包材",\2800,10,\28000
140,89,2013/2/15 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1002","段ボール箱（小）","梱包材",\1900,12,\22800
140,90,2013/2/15 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1003","段ボール箱（大）","梱包材",\2900,10,\29000
141,91,2013/3/1 0:00:00,"1001","葉山商会株式会社","飯島賢太","関東","P_1001","コピー用紙","紙製品",\3500,8,\28000
141,92,2013/3/1 0:00:00,"1001","葉山商会株式会社","飯島賢太","関東","P_1002","カラーコピー用紙","紙製品",\4500,6,\27000
142,93,2013/3/1 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1001","コピー用紙","紙製品",\3500,10,\35000
142,94,2013/3/1 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1003","宛名ラベル","紙製品",\2800,10,\28000
142,95,2013/3/1 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","O_1003","カラーメモシール","事務用品",\2800,5,\14000
143,96,2013/3/1 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1001","エアークッション材","梱包材",\2800,4,\11200
143,97,2013/3/1 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1003","段ボール箱（大）","梱包材",\2900,8,\23200
144,98,2013/3/1 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1001","コピー用紙","紙製品",\3500,6,\21000
144,99,2013/3/1 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1003","宛名ラベル","紙製品",\2800,5,\14000
144,100,2013/3/1 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1004","CD DVDラベル","紙製品",\5000,1,\5000
145,101,2013/3/1 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1001","コピー用紙","紙製品",\3500,6,\21000
145,102,2013/3/1 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1004","CD DVDラベル","紙製品",\5000,5,\25000
146,103,2013/3/1 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1001","クリアケース","事務用品",\2500,4,\10000
146,104,2013/3/1 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1002","軽量バインダー","事務用品",\3500,4,\14000
147,105,2013/3/1 0:00:00,"1007","桜町ハウス株式会社","中島幸太郎","中部","B_1001","エアークッション材","梱包材",\2800,8,\22400
148,106,2013/3/1 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1001","コピー用紙","紙製品",\3500,10,\35000
148,107,2013/3/1 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1002","カラーコピー用紙","紙製品",\4500,5,\22500
148,108,2013/3/1 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1003","宛名ラベル","紙製品",\2800,3,\8400
149,109,2013/3/1 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1001","コピー用紙","紙製品",\3500,10,\35000
149,110,2013/3/1 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1003","宛名ラベル","紙製品",\2800,2,\5600
150,111,2013/3/1 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1001","エアークッション材","梱包材",\2800,10,\28000
150,112,2013/3/1 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1002","段ボール箱（小）","梱包材",\1900,8,\15200
150,113,2013/3/1 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1003","段ボール箱（大）","梱包材",\2900,10,\29000
151,114,2013/3/15 0:00:00,"1001","葉山商会株式会社","飯島賢太","関東","P_1001","コピー用紙","紙製品",\3500,8,\28000
151,115,2013/3/15 0:00:00,"1001","葉山商会株式会社","飯島賢太","関東","P_1002","カラーコピー用紙","紙製品",\4500,5,\22500
152,116,2013/3/15 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1001","コピー用紙","紙製品",\3500,10,\35000
152,117,2013/3/15 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1003","宛名ラベル","紙製品",\2800,12,\33600
152,118,2013/3/15 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","O_1003","カラーメモシール","事務用品",\2800,6,\16800
153,119,2013/3/15 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1001","エアークッション材","梱包材",\2800,4,\11200
153,120,2013/3/15 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1003","段ボール箱（大）","梱包材",\2900,10,\29000
154,121,2013/3/15 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1001","コピー用紙","紙製品",\3500,4,\14000
154,122,2013/3/15 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1003","宛名ラベル","紙製品",\2800,5,\14000
155,123,2013/3/15 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1001","コピー用紙","紙製品",\3500,6,\21000
155,124,2013/3/15 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1004","CD DVDラベル","紙製品",\5000,3,\15000
156,125,2013/3/15 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1001","クリアケース","事務用品",\2500,3,\7500
156,126,2013/3/15 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1002","軽量バインダー","事務用品",\3500,2,\7000
157,127,2013/3/15 0:00:00,"1007","桜町ハウス株式会社","中島幸太郎","中部","B_1001","エアークッション材","梱包材",\2800,7,\19600
158,128,2013/3/15 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1001","コピー用紙","紙製品",\3500,10,\35000
158,129,2013/3/15 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1002","カラーコピー用紙","紙製品",\4500,10,\45000
159,130,2013/3/15 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1001","コピー用紙","紙製品",\3500,10,\35000
159,131,2013/3/15 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1003","宛名ラベル","紙製品",\2800,4,\11200
160,132,2013/3/15 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1001","エアークッション材","梱包材",\2800,10,\28000
160,133,2013/3/15 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1002","段ボール箱（小）","梱包材",\1900,10,\19000
160,134,2013/3/15 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1003","段ボール箱（大）","梱包材",\2900,10,\29000
161,135,2013/4/1 0:00:00,"1001","葉山商会株式会社","飯島賢太","関東","P_1001","コピー用紙","紙製品",\3500,9,\31500
161,136,2013/4/1 0:00:00,"1001","葉山商会株式会社","飯島賢太","関東","P_1002","カラーコピー用紙","紙製品",\4500,5,\22500
162,137,2013/4/1 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1001","コピー用紙","紙製品",\3500,10,\35000
162,138,2013/4/1 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1002","カラーコピー用紙","紙製品",\4500,8,\36000
162,139,2013/4/1 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1003","宛名ラベル","紙製品",\2800,10,\28000
162,140,2013/4/1 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","O_1003","カラーメモシール","事務用品",\2800,6,\16800
163,141,2013/4/1 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1001","エアークッション材","梱包材",\2800,4,\11200
163,142,2013/4/1 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1003","段ボール箱（大）","梱包材",\2900,10,\29000
164,143,2013/4/1 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1001","コピー用紙","紙製品",\3500,6,\21000
164,144,2013/4/1 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1003","宛名ラベル","紙製品",\2800,5,\14000
164,145,2013/4/1 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1004","CD DVDラベル","紙製品",\5000,1,\5000
165,146,2013/4/1 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1001","コピー用紙","紙製品",\3500,7,\24500
165,147,2013/4/1 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1004","CD DVDラベル","紙製品",\5000,4,\20000
166,148,2013/4/1 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1001","クリアケース","事務用品",\2500,4,\10000
166,149,2013/4/1 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1002","軽量バインダー","事務用品",\3500,5,\17500
167,150,2013/4/1 0:00:00,"1007","桜町ハウス株式会社","中島幸太郎","中部","B_1001","エアークッション材","梱包材",\2800,7,\19600
168,151,2013/4/1 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1001","コピー用紙","紙製品",\3500,10,\35000
168,152,2013/4/1 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1002","カラーコピー用紙","紙製品",\4500,3,\13500
169,153,2013/4/1 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1001","コピー用紙","紙製品",\3500,10,\35000
169,154,2013/4/1 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1003","宛名ラベル","紙製品",\2800,2,\5600
170,155,2013/4/1 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1001","エアークッション材","梱包材",\2800,10,\28000
170,156,2013/4/1 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1002","段ボール箱（小）","梱包材",\1900,10,\19000
170,157,2013/4/1 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1003","段ボール箱（大）","梱包材",\2900,10,\29000
171,158,2013/4/15 0:00:00,"1001","葉山商会株式会社","飯島賢太","関東","P_1001","コピー用紙","紙製品",\3500,8,\28000
171,159,2013/4/15 0:00:00,"1001","葉山商会株式会社","飯島賢太","関東","P_1002","カラーコピー用紙","紙製品",\4500,5,\22500
172,160,2013/4/15 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1001","コピー用紙","紙製品",\3500,10,\35000
172,161,2013/4/15 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1003","宛名ラベル","紙製品",\2800,8,\22400
172,162,2013/4/15 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","O_1003","カラーメモシール","事務用品",\2800,6,\16800
173,163,2013/4/15 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1001","エアークッション材","梱包材",\2800,4,\11200
173,164,2013/4/15 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1003","段ボール箱（大）","梱包材",\2900,11,\31900
174,165,2013/4/15 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1001","コピー用紙","紙製品",\3500,6,\21000
174,166,2013/4/15 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1003","宛名ラベル","紙製品",\2800,5,\14000
175,167,2013/4/15 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1001","コピー用紙","紙製品",\3500,6,\21000
175,168,2013/4/15 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1004","CD DVDラベル","紙製品",\5000,5,\25000
176,169,2013/4/15 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1001","クリアケース","事務用品",\2500,4,\10000
176,170,2013/4/15 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1002","軽量バインダー","事務用品",\3500,4,\14000
177,171,2013/4/15 0:00:00,"1007","桜町ハウス株式会社","中島幸太郎","中部","B_1001","エアークッション材","梱包材",\2800,8,\22400
178,172,2013/4/15 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1001","コピー用紙","紙製品",\3500,10,\35000
178,173,2013/4/15 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1002","カラーコピー用紙","紙製品",\4500,5,\22500
179,174,2013/4/15 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1001","コピー用紙","紙製品",\3500,10,\35000
179,175,2013/4/15 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1003","宛名ラベル","紙製品",\2800,2,\5600
180,176,2013/4/15 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1001","エアークッション材","梱包材",\2800,11,\30800
180,177,2013/4/15 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1002","段ボール箱（小）","梱包材",\1900,10,\19000
180,178,2013/4/15 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1003","段ボール箱（大）","梱包材",\2900,10,\29000
181,179,2013/5/1 0:00:00,"1001","葉山商会株式会社","飯島賢太","関東","P_1001","コピー用紙","紙製品",\3500,8,\28000
181,180,2013/5/1 0:00:00,"1001","葉山商会株式会社","飯島賢太","関東","P_1002","カラーコピー用紙","紙製品",\4500,6,\27000
182,181,2013/5/1 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1001","コピー用紙","紙製品",\3500,10,\35000
182,182,2013/5/1 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","P_1003","宛名ラベル","紙製品",\2800,10,\28000
182,183,2013/5/1 0:00:00,"1002","高村システム株式会社","長嶋慎二","関東","O_1003","カラーメモシール","事務用品",\2800,6,\16800
183,184,2013/5/1 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1001","エアークッション材","梱包材",\2800,5,\14000
183,185,2013/5/1 0:00:00,"1003","中吉食品株式会社","今田大輔","関東","B_1003","段ボール箱（大）","梱包材",\2900,10,\29000
184,186,2013/5/1 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1001","コピー用紙","紙製品",\3500,6,\21000
184,187,2013/5/1 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1003","宛名ラベル","紙製品",\2800,5,\14000
184,188,2013/5/1 0:00:00,"1004","株式会社山里商会","大下奈緒","関東","P_1004","CD DVDラベル","紙製品",\5000,1,\5000
185,189,2013/5/1 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1001","コピー用紙","紙製品",\3500,6,\21000
185,190,2013/5/1 0:00:00,"1005","東京旅行株式会社","野村翔太","中部","P_1004","CD DVDラベル","紙製品",\5000,3,\15000
186,191,2013/5/1 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1001","クリアケース","事務用品",\2500,4,\10000
186,192,2013/5/1 0:00:00,"1006","株式会社佐藤食品","葉山美樹","中部","O_1002","軽量バインダー","事務用品",\3500,4,\14000
187,193,2013/5/1 0:00:00,"1007","桜町ハウス株式会社","中島幸太郎","中部","B_1001","エアークッション材","梱包材",\2800,7,\19600
188,194,2013/5/1 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1001","コピー用紙","紙製品",\3500,11,\38500
188,195,2013/5/1 0:00:00,"1008","カフェスタイル株式会社","鈴木悠人","関西","P_1002","カラーコピー用紙","紙製品",\4500,5,\22500
189,196,2013/5/1 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1001","コピー用紙","紙製品",\3500,10,\35000
189,197,2013/5/1 0:00:00,"1009","渡辺不動産株式会社","相川優香","関西","P_1003","宛名ラベル","紙製品",\2800,4,\11200
190,198,2013/5/1 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1001","エアークッション材","梱包材",\2800,10,\28000
190,199,2013/5/1 0:00:00,"1010","田中飲料株式会社","渡辺絵梨","関西","B_1002","段ボール箱（小）","梱包材",\1900,10,\19000
